Topic,DataValue,Stratification1,Location
Chronic Obstructive Pulmonary Disease,21.3,Age 45-64,New Mexico
Cancer,21.3,"White, non-Hispanic",Arkansas
Cancer,21.3,"White, non-Hispanic",Delaware
Cancer,21.3,"Asian or Pacific Islander, non-Hispanic",Nevada
Alcohol,21.3,"White, non-Hispanic",Oklahoma
Alcohol,21.3,Age 45-64,New Jersey
Cancer,21.3,"White, non-Hispanic",Michigan
Cardiovascular Disease,21.3,Male,Mississippi
Cardiovascular Disease,21.3,Age 45-64,Alaska
Cancer,21.3,"Asian or Pacific Islander, non-Hispanic",Nevada
Alcohol,21.3,Male,Idaho
Cardiovascular Disease,21.3,"Asian, non-Hispanic",Michigan
Chronic Obstructive Pulmonary Disease,21.3,Age 45-64,Alaska
Cardiovascular Disease,21.3,"Multiracial, non-Hispanic",Colorado
Alcohol,21.3,"Black, non-Hispanic",Kansas
Cardiovascular Disease,21.34,Male,Nevada
Cardiovascular Disease,21.4,Age 45-64,Pennsylvania
Alcohol,21.4,Male,Michigan
Cardiovascular Disease,21.4,"Asian, non-Hispanic",Georgia
Alcohol,21.4,"White, non-Hispanic",Mississippi
Cancer,21.4,Male,West Virginia
Cancer,21.4,"Black, non-Hispanic",Oregon
Cancer,21.4,"White, non-Hispanic",Pennsylvania
Cardiovascular Disease,21.4,"Asian, non-Hispanic",Pennsylvania
Cancer,21.4,"American Indian or Alaska Native, non-Hispanic",Colorado
Alcohol,21.4,"White, non-Hispanic",Texas
Cancer,21.4,Male,Kentucky
Cancer,21.4,"American Indian or Alaska Native, non-Hispanic",Ohio
Chronic Obstructive Pulmonary Disease,21.4,"American Indian or Alaska Native, non-Hispanic",New Mexico
Cancer,21.4,Overall,West Virginia
Alcohol,21.4,Overall,Mississippi
Cardiovascular Disease,21.42,Female,Arkansas
Cardiovascular Disease,21.44,"White, non-Hispanic",North Carolina
Chronic Obstructive Pulmonary Disease,21.47,"Asian or Pacific Islander, non-Hispanic",Alaska
Chronic Obstructive Pulmonary Disease,21.47,"Asian or Pacific Islander, non-Hispanic",Illinois
Cardiovascular Disease,21.48,"White, non-Hispanic",New York
Cancer,21.5,Overall,New Mexico
Cancer,21.5,"American Indian or Alaska Native, non-Hispanic",Montana
Cancer,21.5,Overall,Delaware
Cancer,21.5,Male,Idaho
Cardiovascular Disease,21.5,"Asian, non-Hispanic",Wisconsin
Chronic Obstructive Pulmonary Disease,21.5,Age 45-64,Colorado
Cancer,21.5,"White, non-Hispanic",New Jersey
Cancer,21.5,Overall,Idaho
Cancer,21.5,"White, non-Hispanic",Maryland
Cancer,21.5,"Asian or Pacific Islander, non-Hispanic",Hawaii
Cancer,21.5,Male,New Hampshire
Cardiovascular Disease,21.5,Hispanic,South Carolina
Cancer,21.5,"White, non-Hispanic",Nebraska
Cardiovascular Disease,21.5,"Multiracial, non-Hispanic",Colorado
Cancer,21.5,Male,Delaware
Cancer,21.5,Male,Alabama
Cancer,21.5,Overall,New Hampshire
Cancer,21.5,Male,New Mexico
Cardiovascular Disease,21.5,Hispanic,Wisconsin
Cancer,21.5,"Black, non-Hispanic",Connecticut
Cancer,21.5,Overall,Alabama
Alcohol,21.5,Hispanic,Colorado
Cancer,21.5,"Black, non-Hispanic",Kentucky
Cardiovascular Disease,21.55,"Black, non-Hispanic",Maryland
Cardiovascular Disease,21.58,"White, non-Hispanic",Missouri
Alcohol,21.6,Age >=65,Hawaii
Cardiovascular Disease,21.6,Female,Texas
Cardiovascular Disease,21.6,Age 45-64,Maryland
Cancer,21.6,"Black, non-Hispanic",Nebraska
Alcohol,21.6,"White, non-Hispanic",Rhode Island
Alcohol,21.6,Male,Texas
Cardiovascular Disease,21.6,"Asian, non-Hispanic",Indiana
Cardiovascular Disease,21.6,"Asian, non-Hispanic",Minnesota
Diabetes,21.6,"Multiracial, non-Hispanic",Michigan
Cancer,21.6,"White, non-Hispanic",Mississippi
Cardiovascular Disease,21.6,Hispanic,California
Alcohol,21.6,Male,Colorado
Cancer,21.6,"Black, non-Hispanic",Indiana
Cardiovascular Disease,21.65,Overall,Texas
Cardiovascular Disease,21.68,Male,Wisconsin
Cancer,21.7,"White, non-Hispanic",Pennsylvania
Cancer,21.7,"White, non-Hispanic",New Jersey
Cancer,21.7,"White, non-Hispanic",Colorado
Cardiovascular Disease,21.7,Age 45-64,Kansas
Alcohol,21.7,Male,Indiana
Cancer,21.7,Male,Pennsylvania
Cardiovascular Disease,21.7,"Multiracial, non-Hispanic",Florida
Alcohol,21.7,Female,New Mexico
Alcohol,21.7,Overall,Oklahoma
Cancer,21.7,"American Indian or Alaska Native, non-Hispanic",Colorado
Cancer,21.7,Overall,Colorado
Cancer,21.7,Overall,Pennsylvania
Cancer,21.7,"White, non-Hispanic",Arkansas
Diabetes,21.7,"Multiracial, non-Hispanic",New Jersey
Cardiovascular Disease,21.7,Hispanic,Indiana
Diabetes,21.7,Hispanic,Maryland
Cardiovascular Disease,21.7,"Multiracial, non-Hispanic",New Jersey
Cancer,21.7,"White, non-Hispanic",Ohio
Cancer,21.7,Female,Colorado
Cardiovascular Disease,21.71,Male,Texas
Cardiovascular Disease,21.71,Overall,Indiana
Cardiovascular Disease,21.73,Overall,Wisconsin
Cardiovascular Disease,21.74,Hispanic,Missouri
Cardiovascular Disease,21.75,"White, non-Hispanic",Minnesota
Cardiovascular Disease,21.75,"Black, non-Hispanic",New Mexico
Cardiovascular Disease,21.77,Female,Wisconsin
Chronic Obstructive Pulmonary Disease,21.78,"Black, non-Hispanic",Ohio
Diabetes,21.8,"Asian, non-Hispanic",Georgia
Cardiovascular Disease,21.8,Female,Illinois
Cardiovascular Disease,21.8,Hispanic,Minnesota
Cancer,21.8,"Black, non-Hispanic",Illinois
Cardiovascular Disease,21.8,"Multiracial, non-Hispanic",Illinois
Alcohol,21.8,Male,Idaho
Cancer,21.8,"White, non-Hispanic",Kansas
Cancer,21.8,Overall,North Dakota
Chronic Obstructive Pulmonary Disease,21.8,Age 45-64,Delaware
Alcohol,21.8,Female,Montana
Alcohol,21.8,Male,Tennessee
Cancer,21.8,Female,North Dakota
Cancer,21.8,"White, non-Hispanic",Wyoming
Cancer,21.8,"White, non-Hispanic",West Virginia
Alcohol,21.8,Overall,Oregon
Cardiovascular Disease,21.8,Hispanic,Iowa
Cancer,21.8,"White, non-Hispanic",Kansas
Alcohol,21.8,Overall,West Virginia
Cancer,21.8,"White, non-Hispanic",Illinois
Cardiovascular Disease,21.84,Hispanic,California
Cancer,21.9,"White, non-Hispanic",Mississippi
Chronic Obstructive Pulmonary Disease,21.9,Hispanic,Connecticut
Alcohol,21.9,"White, non-Hispanic",Arkansas
Chronic Obstructive Pulmonary Disease,21.9,"Black, non-Hispanic",Rhode Island
Alcohol,21.9,Male,Arkansas
Cancer,21.9,"White, non-Hispanic",New Jersey
Alcohol,21.9,Male,Indiana
Cardiovascular Disease,21.9,Age 45-64,Michigan
Chronic Obstructive Pulmonary Disease,21.9,Age 45-64,Vermont
Alcohol,21.9,"White, non-Hispanic",Florida
Alcohol,21.9,Overall,Montana
Cardiovascular Disease,21.9,Hispanic,Massachusetts
Diabetes,21.9,Hispanic,Louisiana
Cardiovascular Disease,21.92,Overall,South Carolina
Cardiovascular Disease,21.93,Male,California
Cardiovascular Disease,21.96,"White, non-Hispanic",Louisiana
Cardiovascular Disease,21.97,Female,Minnesota
Alcohol,22.0,"Multiracial, non-Hispanic",Arizona
Cancer,22.0,Overall,South Carolina
Cancer,22.0,Overall,Colorado
Cancer,22.0,Male,Pennsylvania
Cancer,22.0,Female,Colorado
Alcohol,22.0,Overall,West Virginia
Cancer,22.0,Male,New Hampshire
Cancer,22.0,Overall,Pennsylvania
Chronic Obstructive Pulmonary Disease,22.0,Age 45-64,Wisconsin
Cancer,22.0,"White, non-Hispanic",South Carolina
Cancer,22.0,Overall,New Hampshire
Alcohol,22.0,Male,Washington
Alcohol,22.0,"White, non-Hispanic",Georgia
Cancer,22.0,"Asian or Pacific Islander, non-Hispanic",Hawaii
Cancer,22.0,Male,South Carolina
Cancer,22.0,"Black, non-Hispanic",Nebraska
Cardiovascular Disease,22.01,Male,Maine
Chronic Obstructive Pulmonary Disease,22.01,"Asian or Pacific Islander, non-Hispanic",Utah
Cardiovascular Disease,22.06,Overall,Minnesota
Cardiovascular Disease,22.1,Age 45-64,Arizona
Chronic Obstructive Pulmonary Disease,22.1,Age 45-64,Colorado
Cardiovascular Disease,22.1,Age 0-44,Alabama
Cancer,22.1,Male,Wisconsin
Cardiovascular Disease,22.1,"Asian, non-Hispanic",Ohio
Chronic Obstructive Pulmonary Disease,22.1,Hispanic,Georgia
Cancer,22.1,"White, non-Hispanic",Ohio
Chronic Obstructive Pulmonary Disease,22.1,Age 45-64,New Hampshire
Chronic Obstructive Pulmonary Disease,22.1,Age 45-64,Arizona
Diabetes,22.1,"Multiracial, non-Hispanic",Illinois
Diabetes,22.1,"Multiracial, non-Hispanic",Nevada
Cardiovascular Disease,22.1,Age 45-64,California
Cancer,22.1,Overall,Wisconsin
Chronic Obstructive Pulmonary Disease,22.1,Age 45-64,South Dakota
Cardiovascular Disease,22.1,Age 45-64,Florida
Cardiovascular Disease,22.11,Female,Virginia
Cardiovascular Disease,22.11,"White, non-Hispanic",Florida
Cardiovascular Disease,22.11,"Asian or Pacific Islander, non-Hispanic",Michigan
Cardiovascular Disease,22.15,Male,Minnesota
Chronic Obstructive Pulmonary Disease,22.15,Hispanic,Idaho
Cardiovascular Disease,22.16,Overall,Arkansas
Chronic Obstructive Pulmonary Disease,22.19,Hispanic,Georgia
Diabetes,22.2,Hispanic,Iowa
Cardiovascular Disease,22.2,Age 45-64,Nebraska
Cancer,22.2,"American Indian or Alaska Native, non-Hispanic",Missouri
Cancer,22.2,"White, non-Hispanic",New Jersey
Cardiovascular Disease,22.2,Female,California
Alcohol,22.2,"White, non-Hispanic",Kentucky
Cardiovascular Disease,22.2,Age 45-64,Virginia
Cardiovascular Disease,22.2,Hispanic,Indiana
Cardiovascular Disease,22.2,"Multiracial, non-Hispanic",Minnesota
Cancer,22.2,"White, non-Hispanic",Illinois
Chronic Obstructive Pulmonary Disease,22.2,Age 45-64,Delaware
Cancer,22.2,"American Indian or Alaska Native, non-Hispanic",Nevada
Alcohol,22.2,Age >=65,New York
Alcohol,22.2,"White, non-Hispanic",New Mexico
Alcohol,22.2,"White, non-Hispanic",Washington
Chronic Obstructive Pulmonary Disease,22.21,Hispanic,Florida
Cardiovascular Disease,22.21,Female,Mississippi
Cardiovascular Disease,22.25,Female,New York
Cardiovascular Disease,22.28,"Asian or Pacific Islander, non-Hispanic",Hawaii
Cardiovascular Disease,22.29,Female,Tennessee
Cancer,22.3,"Black, non-Hispanic",Rhode Island
Alcohol,22.3,"White, non-Hispanic",Alaska
Cardiovascular Disease,22.3,Hispanic,Washington
Cancer,22.3,"Black, non-Hispanic",Colorado
Cardiovascular Disease,22.3,Hispanic,Utah
Cancer,22.3,"American Indian or Alaska Native, non-Hispanic",Louisiana
Cancer,22.3,"American Indian or Alaska Native, non-Hispanic",Mississippi
Chronic Obstructive Pulmonary Disease,22.3,Hispanic,Massachusetts
Cancer,22.3,Overall,North Dakota
Chronic Obstructive Pulmonary Disease,22.3,Age 45-64,Illinois
Alcohol,22.3,Female,Alaska
Alcohol,22.3,Male,North Dakota
Diabetes,22.3,"Multiracial, non-Hispanic",New Jersey
Cancer,22.3,Female,West Virginia
Cardiovascular Disease,22.3,Hispanic,Mississippi
Cancer,22.3,Female,North Dakota
Chronic Obstructive Pulmonary Disease,22.3,Age 45-64,Illinois
Cancer,22.3,"White, non-Hispanic",Massachusetts
Alcohol,22.3,"White, non-Hispanic",Hawaii
Cardiovascular Disease,22.37,Overall,Illinois
Cardiovascular Disease,22.4,Hispanic,Alabama
Cancer,22.4,"White, non-Hispanic",Delaware
Cancer,22.4,"American Indian or Alaska Native, non-Hispanic",Idaho
Cancer,22.4,Overall,Iowa
Cancer,22.4,Male,Iowa
Alcohol,22.4,Male,Florida
Alcohol,22.4,Age >=65,New York
Alcohol,22.4,"White, non-Hispanic",Oregon
Cardiovascular Disease,22.4,"American Indian or Alaska Native, non-Hispanic",Oregon
Cardiovascular Disease,22.4,Hispanic,Arkansas
Cardiovascular Disease,22.44,"White, non-Hispanic",California
Cardiovascular Disease,22.46,Male,Arkansas
Cardiovascular Disease,22.47,Female,North Carolina
Cardiovascular Disease,22.49,Hispanic,Indiana
Chronic Obstructive Pulmonary Disease,22.5,Hispanic,Virginia
Cancer,22.5,Overall,Oregon
Cancer,22.5,Male,Oregon
Cardiovascular Disease,22.5,"Asian, non-Hispanic",Pennsylvania
Chronic Obstructive Pulmonary Disease,22.5,Age 45-64,Rhode Island
Cardiovascular Disease,22.5,Hispanic,Oklahoma
Cancer,22.5,Overall,Oregon
Chronic Obstructive Pulmonary Disease,22.5,Age 45-64,Arizona
Cancer,22.5,Overall,Hawaii
Alcohol,22.5,Male,Ohio
Cardiovascular Disease,22.5,Hispanic,Texas
Cancer,22.5,Female,Hawaii
Cardiovascular Disease,22.5,"Asian, non-Hispanic",New Jersey
Chronic Obstructive Pulmonary Disease,22.5,Hispanic,New Jersey
Cancer,22.5,"American Indian or Alaska Native, non-Hispanic",Ohio
Cancer,22.5,Male,Oregon
Cardiovascular Disease,22.5,Hispanic,Arizona
Alcohol,22.5,Male,Michigan
Cardiovascular Disease,22.51,Male,Oklahoma
Cardiovascular Disease,22.53,Overall,Tennessee
Cardiovascular Disease,22.53,Male,Massachusetts
Cardiovascular Disease,22.55,"Asian or Pacific Islander, non-Hispanic",New York
Cardiovascular Disease,22.57,"White, non-Hispanic",Texas
Alcohol,22.6,"White, non-Hispanic",Rhode Island
Alcohol,22.6,Male,Nevada
Alcohol,22.6,Age 45-64,Delaware
Cancer,22.6,"White, non-Hispanic",Oklahoma
Cardiovascular Disease,22.6,Age 45-64,Delaware
Cancer,22.6,Male,South Carolina
Alcohol,22.6,Female,Wyoming
Cancer,22.6,Female,Minnesota
Cancer,22.6,Overall,Minnesota
Cancer,22.6,Overall,South Carolina
Cardiovascular Disease,22.6,Hispanic,Wisconsin
Cancer,22.6,"White, non-Hispanic",Oklahoma
Cancer,22.6,"White, non-Hispanic",Colorado
Chronic Obstructive Pulmonary Disease,22.6,Hispanic,Wisconsin
Alcohol,22.6,"White, non-Hispanic",North Carolina
Alcohol,22.6,Age 45-64,Pennsylvania
Chronic Obstructive Pulmonary Disease,22.66,"American Indian or Alaska Native, non-Hispanic",Florida
Chronic Obstructive Pulmonary Disease,22.69,Hispanic,Arkansas
Cardiovascular Disease,22.7,"Multiracial, non-Hispanic",Massachusetts
Cancer,22.7,"Black, non-Hispanic",Arizona
Alcohol,22.7,"White, non-Hispanic",Alabama
Cancer,22.7,"Black, non-Hispanic",Oregon
Cancer,22.7,"White, non-Hispanic",Massachusetts
Alcohol,22.7,Overall,Maine
Cancer,22.7,Overall,Wisconsin
Alcohol,22.7,"Black, non-Hispanic",Colorado
Cardiovascular Disease,22.7,"Asian, non-Hispanic",Tennessee
Cancer,22.7,Overall,Massachusetts
Diabetes,22.7,Hispanic,Virginia
Cancer,22.7,Female,Massachusetts
Cancer,22.7,Male,Wisconsin
Cardiovascular Disease,22.7,"Multiracial, non-Hispanic",Illinois
Cardiovascular Disease,22.7,Hispanic,Missouri
Cardiovascular Disease,22.75,Female,New Jersey
Cardiovascular Disease,22.75,Male,New Jersey
Cardiovascular Disease,22.76,Overall,Virginia
Cardiovascular Disease,22.76,"Asian or Pacific Islander, non-Hispanic",Wisconsin
Cardiovascular Disease,22.79,"American Indian or Alaska Native, non-Hispanic",Kansas
Cardiovascular Disease,22.79,"White, non-Hispanic",Tennessee
Cardiovascular Disease,22.8,"Multiracial, non-Hispanic",Florida
Cancer,22.8,Overall,Massachusetts
Cancer,22.8,Overall,California
Cancer,22.8,Female,California
Alcohol,22.8,Overall,Alaska
Cardiovascular Disease,22.8,Hispanic,Massachusetts
Cardiovascular Disease,22.8,"Asian, non-Hispanic",Minnesota
Cancer,22.8,Female,California
Cancer,22.8,Overall,California
Cancer,22.8,Male,Iowa
Cancer,22.8,Female,Massachusetts
Cancer,22.8,Overall,Iowa
Chronic Obstructive Pulmonary Disease,22.8,Hispanic,Massachusetts
Cardiovascular Disease,22.82,Overall,North Carolina
Cardiovascular Disease,22.83,Male,Tennessee
Cardiovascular Disease,22.86,"American Indian or Alaska Native, non-Hispanic",Montana
Cardiovascular Disease,22.86,Female,Florida
Cardiovascular Disease,22.88,Hispanic,California
Cardiovascular Disease,22.88,Male,Indiana
Cancer,22.9,"White, non-Hispanic",Mississippi
Cancer,22.9,Overall,Florida
Cardiovascular Disease,22.9,Hispanic,Texas
Alcohol,22.9,"White, non-Hispanic",West Virginia
Chronic Obstructive Pulmonary Disease,22.9,"Asian, non-Hispanic",Arizona
Cancer,22.9,Male,Florida
Alcohol,22.9,Male,North Carolina
Cardiovascular Disease,22.9,Age 45-64,Maryland
Alcohol,22.9,"White, non-Hispanic",Oklahoma
Cancer,22.9,"White, non-Hispanic",South Dakota
Cardiovascular Disease,22.9,Age 45-64,Michigan
Cancer,22.9,"Black, non-Hispanic",Georgia
Alcohol,22.9,Male,Rhode Island
Cancer,22.9,"White, non-Hispanic",Mississippi
Alcohol,22.9,Age 45-64,Utah
Cardiovascular Disease,22.9,"Asian, non-Hispanic",North Carolina
Cardiovascular Disease,22.9,"Asian, non-Hispanic",Virginia
Chronic Obstructive Pulmonary Disease,22.92,Hispanic,Oregon
Chronic Obstructive Pulmonary Disease,22.94,"American Indian or Alaska Native, non-Hispanic",Utah
Cancer,23.0,Overall,Vermont
Cardiovascular Disease,23.0,"Asian, non-Hispanic",Illinois
Cardiovascular Disease,23.0,Hispanic,Washington
Alcohol,23.0,Male,Kentucky
Chronic Obstructive Pulmonary Disease,23.0,Age 45-64,Alaska
Cancer,23.0,Male,Vermont
Cancer,23.0,"Black, non-Hispanic",Indiana
Cancer,23.0,Female,Minnesota
Cancer,23.0,Overall,Minnesota
Cardiovascular Disease,23.0,"Multiracial, non-Hispanic",Michigan
Alcohol,23.0,Female,Alaska
Cancer,23.0,"American Indian or Alaska Native, non-Hispanic",Massachusetts
Cardiovascular Disease,23.02,"Asian or Pacific Islander, non-Hispanic",Ohio
Cardiovascular Disease,23.03,Overall,California
Cardiovascular Disease,23.04,Male,Arkansas
Chronic Obstructive Pulmonary Disease,23.04,"Black, non-Hispanic",Michigan
Cardiovascular Disease,23.04,Male,Illinois
Cancer,23.1,Male,Florida
Alcohol,23.1,Male,Texas
Chronic Obstructive Pulmonary Disease,23.1,Age 45-64,Pennsylvania
Alcohol,23.1,Male,California
Cardiovascular Disease,23.1,Hispanic,Colorado
Alcohol,23.1,"White, non-Hispanic",West Virginia
Chronic Obstructive Pulmonary Disease,23.1,Age 45-64,Hawaii
Cardiovascular Disease,23.1,Age 45-64,Ohio
Cancer,23.1,Overall,Florida
Alcohol,23.1,Male,New Hampshire
Cardiovascular Disease,23.13,"Asian or Pacific Islander, non-Hispanic",Wisconsin
Cardiovascular Disease,23.14,Overall,Mississippi
Alcohol,23.2,Age >=65,Vermont
Alcohol,23.2,Age 45-64,Georgia
Cancer,23.2,"American Indian or Alaska Native, non-Hispanic",North Carolina
Cancer,23.2,Female,Hawaii
Alcohol,23.2,"White, non-Hispanic",Texas
Cancer,23.2,Female,Wyoming
Cardiovascular Disease,23.2,Age 45-64,Kansas
Cardiovascular Disease,23.2,Age 45-64,California
Cancer,23.2,"American Indian or Alaska Native, non-Hispanic",Nevada
Alcohol,23.2,Male,Florida
Cancer,23.2,"Black, non-Hispanic",Iowa
Cardiovascular Disease,23.2,"Asian, non-Hispanic",Texas
Cancer,23.2,Overall,Hawaii
Cardiovascular Disease,23.2,Hispanic,Nebraska
Cardiovascular Disease,23.2,"Asian, non-Hispanic",Texas
Cardiovascular Disease,23.2,Hispanic,Rhode Island
Cancer,23.2,"White, non-Hispanic",New Hampshire
Cancer,23.2,Overall,Wyoming
Alcohol,23.2,"White, non-Hispanic",Tennessee
Cardiovascular Disease,23.22,Male,North Carolina
Cardiovascular Disease,23.26,"White, non-Hispanic",Wisconsin
Cardiovascular Disease,23.28,Female,Missouri
Cardiovascular Disease,23.3,Hispanic,North Carolina
Diabetes,23.3,"Multiracial, non-Hispanic",Nevada
Cancer,23.3,"White, non-Hispanic",South Dakota
Cancer,23.3,"Black, non-Hispanic",New Mexico
Chronic Obstructive Pulmonary Disease,23.3,Age 45-64,Virginia
Cardiovascular Disease,23.3,"Asian, non-Hispanic",Maryland
Cancer,23.3,"Black, non-Hispanic",Louisiana
Alcohol,23.3,Male,Rhode Island
Cancer,23.3,"White, non-Hispanic",Florida
Cardiovascular Disease,23.3,Hispanic,Iowa
Alcohol,23.3,Male,Alaska
Cardiovascular Disease,23.3,Age 45-64,Maryland
Alcohol,23.3,Age 45-64,Wisconsin
Alcohol,23.3,"White, non-Hispanic",Kentucky
Cancer,23.3,"Black, non-Hispanic",Florida
Cardiovascular Disease,23.33,Male,Wisconsin
Cardiovascular Disease,23.34,"American Indian or Alaska Native, non-Hispanic",Nebraska
Cardiovascular Disease,23.36,Male,South Carolina
Cardiovascular Disease,23.37,Overall,New York
Cardiovascular Disease,23.39,"Asian or Pacific Islander, non-Hispanic",Rhode Island
Cardiovascular Disease,23.4,"Black, non-Hispanic",Minnesota
Alcohol,23.4,"White, non-Hispanic",California
Chronic Obstructive Pulmonary Disease,23.4,Age 45-64,Alaska
Cancer,23.4,"Black, non-Hispanic",Florida
Cancer,23.4,Female,Wyoming
Alcohol,23.4,Overall,West Virginia
Cancer,23.4,Overall,Wyoming
Cardiovascular Disease,23.42,"American Indian or Alaska Native, non-Hispanic",California
Chronic Obstructive Pulmonary Disease,23.45,"Asian or Pacific Islander, non-Hispanic",Illinois
Cardiovascular Disease,23.48,"American Indian or Alaska Native, non-Hispanic",Nevada
Alcohol,23.5,Male,Arizona
Cardiovascular Disease,23.5,Age 45-64,Virginia
Chronic Obstructive Pulmonary Disease,23.5,Age 45-64,Pennsylvania
Cancer,23.5,"Black, non-Hispanic",Arizona
Cancer,23.5,"White, non-Hispanic",Pennsylvania
Chronic Obstructive Pulmonary Disease,23.5,Hispanic,Pennsylvania
Alcohol,23.5,Age 45-64,Rhode Island
Cancer,23.5,"Black, non-Hispanic",Oklahoma
Cancer,23.5,"White, non-Hispanic",Florida
Cancer,23.5,"Black, non-Hispanic",Delaware
Cardiovascular Disease,23.53,"American Indian or Alaska Native, non-Hispanic",Washington
Cardiovascular Disease,23.54,Male,Virginia
Cardiovascular Disease,23.54,Female,Alabama
Cardiovascular Disease,23.57,"White, non-Hispanic",Georgia
Cancer,23.6,Male,Mississippi
Chronic Obstructive Pulmonary Disease,23.6,"Asian, non-Hispanic",Michigan
Cardiovascular Disease,23.6,"Asian, non-Hispanic",Tennessee
Alcohol,23.6,Age 45-64,Virginia
Cancer,23.6,"American Indian or Alaska Native, non-Hispanic",Kansas
Cancer,23.6,"Black, non-Hispanic",West Virginia
Cardiovascular Disease,23.6,Hispanic,Oregon
Cancer,23.6,"Black, non-Hispanic",Kansas
Diabetes,23.6,Hispanic,Alabama
Cardiovascular Disease,23.6,"Asian, non-Hispanic",Michigan
Cardiovascular Disease,23.61,"White, non-Hispanic",Indiana
Cardiovascular Disease,23.61,"White, non-Hispanic",Illinois
Cardiovascular Disease,23.62,"American Indian or Alaska Native, non-Hispanic",Nebraska
Cardiovascular Disease,23.63,"White, non-Hispanic",New Jersey
Cardiovascular Disease,23.63,"American Indian or Alaska Native, non-Hispanic",North Dakota
Chronic Obstructive Pulmonary Disease,23.64,"Asian or Pacific Islander, non-Hispanic",Iowa
Cardiovascular Disease,23.66,Overall,Missouri
Cancer,23.7,Female,Arizona
Cardiovascular Disease,23.7,Hispanic,Massachusetts
Cancer,23.7,"White, non-Hispanic",New Hampshire
Cancer,23.7,Overall,Arizona
Alcohol,23.7,"American Indian or Alaska Native, non-Hispanic",Texas
Alcohol,23.7,Age 45-64,Missouri
Cancer,23.7,"Black, non-Hispanic",Georgia
Cancer,23.7,Female,Arizona
Cancer,23.7,Overall,Arizona
Cardiovascular Disease,23.7,Hispanic,Delaware
Cardiovascular Disease,23.71,Hispanic,New Mexico
Cardiovascular Disease,23.8,Hispanic,California
Chronic Obstructive Pulmonary Disease,23.8,"Asian, non-Hispanic",Arizona
Cancer,23.8,Male,Mississippi
Cancer,23.8,Overall,West Virginia
Cancer,23.8,Overall,Mississippi
Cardiovascular Disease,23.8,"Multiracial, non-Hispanic",Michigan
Chronic Obstructive Pulmonary Disease,23.8,Hispanic,Virginia
Cancer,23.8,"Black, non-Hispanic",Arizona
Cardiovascular Disease,23.8,Age 45-64,Nebraska
Chronic Obstructive Pulmonary Disease,23.81,"American Indian or Alaska Native, non-Hispanic",New Mexico
Chronic Obstructive Pulmonary Disease,23.85,Hispanic,Oregon
Cardiovascular Disease,23.87,Female,Georgia
Cardiovascular Disease,23.87,"White, non-Hispanic",North Carolina
Cardiovascular Disease,23.89,"White, non-Hispanic",Texas
Chronic Obstructive Pulmonary Disease,23.9,"Asian, non-Hispanic",Ohio
Chronic Obstructive Pulmonary Disease,23.9,"Asian, non-Hispanic",Nevada
Cardiovascular Disease,23.9,Age 45-64,Arizona
Cancer,23.9,"White, non-Hispanic",Nevada
Alcohol,23.9,"White, non-Hispanic",Maine
Cancer,23.9,"White, non-Hispanic",Pennsylvania
Cardiovascular Disease,23.9,"Asian, non-Hispanic",Colorado
Cardiovascular Disease,23.9,Age 45-64,Kansas
Cancer,23.9,"White, non-Hispanic",Minnesota
Cardiovascular Disease,23.9,Hispanic,Kansas
Alcohol,23.9,Age 45-64,Iowa
Diabetes,23.9,Hispanic,Virginia
Cardiovascular Disease,23.91,Overall,Wisconsin
Chronic Obstructive Pulmonary Disease,23.94,Hispanic,Washington
Cardiovascular Disease,23.96,Male,California
Cardiovascular Disease,23.96,Female,Massachusetts
Cardiovascular Disease,23.98,"White, non-Hispanic",Massachusetts
Alcohol,24.0,"White, non-Hispanic",Arkansas
Cancer,24.0,Overall,Washington
Cancer,24.0,"White, non-Hispanic",North Dakota
Cardiovascular Disease,24.0,Hispanic,California
Cancer,24.0,"Black, non-Hispanic",Kansas
Cancer,24.0,Female,Washington
Cardiovascular Disease,24.0,Age 45-64,Illinois
Alcohol,24.0,"White, non-Hispanic",South Carolina
Alcohol,24.0,Age >=65,Alaska
Diabetes,24.0,"Asian, non-Hispanic",Ohio
Cancer,24.0,Overall,West Virginia
Diabetes,24.0,Hispanic,Mississippi
Alcohol,24.0,Male,Kansas
Cancer,24.0,"Black, non-Hispanic",Louisiana
Cancer,24.0,"Black, non-Hispanic",Connecticut
Chronic Obstructive Pulmonary Disease,24.0,Age 45-64,Florida
Cancer,24.0,"Black, non-Hispanic",West Virginia
Cardiovascular Disease,24.01,Hispanic,Delaware
Cardiovascular Disease,24.05,"White, non-Hispanic",Indiana
Cardiovascular Disease,24.09,"Asian or Pacific Islander, non-Hispanic",Mississippi
Chronic Obstructive Pulmonary Disease,24.1,Hispanic,Connecticut
Cancer,24.1,"White, non-Hispanic",Oklahoma
Cancer,24.1,"Black, non-Hispanic",Oklahoma
Cardiovascular Disease,24.1,Age 45-64,Missouri
Cancer,24.1,"Asian or Pacific Islander, non-Hispanic",California
Cancer,24.1,"White, non-Hispanic",Vermont
Cancer,24.1,Male,Mississippi
Cardiovascular Disease,24.1,Age 45-64,Indiana
Cancer,24.1,"Black, non-Hispanic",Iowa
Cancer,24.1,"Black, non-Hispanic",Arizona
Cancer,24.1,Female,Georgia
Cancer,24.1,Female,Georgia
Cancer,24.1,"White, non-Hispanic",Oklahoma
Cancer,24.1,Overall,Georgia
